rank,expression,count,frequency_score,source
467,no need,221,46.9,OpenSubtitles v2018 / OPUS
468,i'm so,221,46.9,OpenSubtitles v2018 / OPUS
469,a fine,221,46.9,OpenSubtitles v2018 / OPUS
470,that's why i,221,46.9,OpenSubtitles v2018 / OPUS
471,won't you,221,46.9,OpenSubtitles v2018 / OPUS
472,jolly good,221,46.9,OpenSubtitles v2018 / OPUS
473,it's very,220,46.9,OpenSubtitles v2018 / OPUS
474,don't wanna,219,46.8,OpenSubtitles v2018 / OPUS
475,a bad,219,46.8,OpenSubtitles v2018 / OPUS
476,get married,219,46.8,OpenSubtitles v2018 / OPUS
477,thing to,219,46.8,OpenSubtitles v2018 / OPUS
478,there's always,219,46.8,OpenSubtitles v2018 / OPUS
479,good show,219,46.8,OpenSubtitles v2018 / OPUS
480,you ain't,218,46.8,OpenSubtitles v2018 / OPUS
481,and it's,217,46.8,OpenSubtitles v2018 / OPUS
482,want to know,217,46.8,OpenSubtitles v2018 / OPUS
483,talk to you,217,46.8,OpenSubtitles v2018 / OPUS
484,come with,216,46.7,OpenSubtitles v2018 / OPUS
485,i wasn't,216,46.7,OpenSubtitles v2018 / OPUS
486,and in,216,46.7,OpenSubtitles v2018 / OPUS
487,oh it's,216,46.7,OpenSubtitles v2018 / OPUS
488,way you,215,46.7,OpenSubtitles v2018 / OPUS
489,guess i,215,46.7,OpenSubtitles v2018 / OPUS
490,i don't like,214,46.6,OpenSubtitles v2018 / OPUS
491,we're not,214,46.6,OpenSubtitles v2018 / OPUS
492,thank you sir,214,46.6,OpenSubtitles v2018 / OPUS
493,out the,214,46.6,OpenSubtitles v2018 / OPUS
494,i'll give you,214,46.6,OpenSubtitles v2018 / OPUS
495,if it's,214,46.6,OpenSubtitles v2018 / OPUS
496,out in,214,46.6,OpenSubtitles v2018 / OPUS
497,in time,214,46.6,OpenSubtitles v2018 / OPUS
498,i really,212,46.6,OpenSubtitles v2018 / OPUS
499,what i mean,212,46.6,OpenSubtitles v2018 / OPUS
500,you're just,212,46.6,OpenSubtitles v2018 / OPUS
501,you want me to,211,46.5,OpenSubtitles v2018 / OPUS
502,you in the,210,46.5,OpenSubtitles v2018 / OPUS
503,what happened to,209,46.4,OpenSubtitles v2018 / OPUS
504,you're right,209,46.4,OpenSubtitles v2018 / OPUS
505,i'm the,209,46.4,OpenSubtitles v2018 / OPUS
506,oh i'm,209,46.4,OpenSubtitles v2018 / OPUS
507,come over,208,46.4,OpenSubtitles v2018 / OPUS
508,you gonna,208,46.4,OpenSubtitles v2018 / OPUS
509,up for,208,46.4,OpenSubtitles v2018 / OPUS
510,believe it,208,46.4,OpenSubtitles v2018 / OPUS
511,thank you for,208,46.4,OpenSubtitles v2018 / OPUS
512,back in,207,46.4,OpenSubtitles v2018 / OPUS
513,a time,206,46.3,OpenSubtitles v2018 / OPUS
514,i hate,206,46.3,OpenSubtitles v2018 / OPUS
515,we haven't,206,46.3,OpenSubtitles v2018 / OPUS
516,the back,206,46.3,OpenSubtitles v2018 / OPUS
517,out and,206,46.3,OpenSubtitles v2018 / OPUS
518,matter with,206,46.3,OpenSubtitles v2018 / OPUS
519,try it,205,46.3,OpenSubtitles v2018 / OPUS
520,your mind,205,46.3,OpenSubtitles v2018 / OPUS
521,we'll get,205,46.3,OpenSubtitles v2018 / OPUS
522,if you want to,205,46.3,OpenSubtitles v2018 / OPUS
523,will take,204,46.2,OpenSubtitles v2018 / OPUS
524,know if,204,46.2,OpenSubtitles v2018 / OPUS
525,the matter with,204,46.2,OpenSubtitles v2018 / OPUS
526,him out,204,46.2,OpenSubtitles v2018 / OPUS
527,you believe,203,46.2,OpenSubtitles v2018 / OPUS
528,take my,203,46.2,OpenSubtitles v2018 / OPUS
529,want to be,202,46.1,OpenSubtitles v2018 / OPUS
530,i've had,202,46.1,OpenSubtitles v2018 / OPUS
531,ready to,202,46.1,OpenSubtitles v2018 / OPUS
532,no good,201,46.1,OpenSubtitles v2018 / OPUS
533,my mind,200,46.1,OpenSubtitles v2018 / OPUS
534,can't go,200,46.1,OpenSubtitles v2018 / OPUS
535,not know,200,46.1,OpenSubtitles v2018 / OPUS
536,in the world,200,46.1,OpenSubtitles v2018 / OPUS
537,it's about,200,46.1,OpenSubtitles v2018 / OPUS
538,what's wrong with,199,46.0,OpenSubtitles v2018 / OPUS
539,yeah i,199,46.0,OpenSubtitles v2018 / OPUS
540,tell the,199,46.0,OpenSubtitles v2018 / OPUS
541,it's no,199,46.0,OpenSubtitles v2018 / OPUS
542,maybe you,199,46.0,OpenSubtitles v2018 / OPUS
543,you please,198,46.0,OpenSubtitles v2018 / OPUS
544,you on,197,45.9,OpenSubtitles v2018 / OPUS
545,were in,197,45.9,OpenSubtitles v2018 / OPUS
546,hold on,197,45.9,OpenSubtitles v2018 / OPUS
547,do you want to,196,45.9,OpenSubtitles v2018 / OPUS
548,we know,196,45.9,OpenSubtitles v2018 / OPUS
549,i give,196,45.9,OpenSubtitles v2018 / OPUS
550,in front,195,45.8,OpenSubtitles v2018 / OPUS
551,the wrong,195,45.8,OpenSubtitles v2018 / OPUS
552,he won't,195,45.8,OpenSubtitles v2018 / OPUS
553,you don't have,195,45.8,OpenSubtitles v2018 / OPUS
554,get on,195,45.8,OpenSubtitles v2018 / OPUS
555,let them,195,45.8,OpenSubtitles v2018 / OPUS
556,and don't,194,45.8,OpenSubtitles v2018 / OPUS
557,that's what i,194,45.8,OpenSubtitles v2018 / OPUS
558,know a,193,45.8,OpenSubtitles v2018 / OPUS
559,not gonna,193,45.8,OpenSubtitles v2018 / OPUS
560,so good,193,45.8,OpenSubtitles v2018 / OPUS
561,don't you think,193,45.8,OpenSubtitles v2018 / OPUS
562,i'm glad,192,45.7,OpenSubtitles v2018 / OPUS
563,in fact,192,45.7,OpenSubtitles v2018 / OPUS
564,you'd be,192,45.7,OpenSubtitles v2018 / OPUS
565,no i'm,191,45.7,OpenSubtitles v2018 / OPUS
566,in her,191,45.7,OpenSubtitles v2018 / OPUS
567,let her,191,45.7,OpenSubtitles v2018 / OPUS
568,it's true,191,45.7,OpenSubtitles v2018 / OPUS
569,what's going,190,45.6,OpenSubtitles v2018 / OPUS
570,you know the,190,45.6,OpenSubtitles v2018 / OPUS
571,we'd better,190,45.6,OpenSubtitles v2018 / OPUS
572,don't look,189,45.6,OpenSubtitles v2018 / OPUS
573,think he,189,45.6,OpenSubtitles v2018 / OPUS
574,can go,188,45.5,OpenSubtitles v2018 / OPUS
575,want it,188,45.5,OpenSubtitles v2018 / OPUS
576,well i'm,188,45.5,OpenSubtitles v2018 / OPUS
577,i'd rather,188,45.5,OpenSubtitles v2018 / OPUS
578,he'll be,188,45.5,OpenSubtitles v2018 / OPUS
579,but you're,188,45.5,OpenSubtitles v2018 / OPUS
580,and we'll,188,45.5,OpenSubtitles v2018 / OPUS
581,no i don't,187,45.5,OpenSubtitles v2018 / OPUS
582,don't forget,187,45.5,OpenSubtitles v2018 / OPUS
583,it off,187,45.5,OpenSubtitles v2018 / OPUS
584,i know how,187,45.5,OpenSubtitles v2018 / OPUS
585,interested in,187,45.5,OpenSubtitles v2018 / OPUS
586,in front of,186,45.4,OpenSubtitles v2018 / OPUS
587,let it,186,45.4,OpenSubtitles v2018 / OPUS
588,let the,186,45.4,OpenSubtitles v2018 / OPUS
589,he's in,186,45.4,OpenSubtitles v2018 / OPUS
590,come up,186,45.4,OpenSubtitles v2018 / OPUS
591,we're gonna,186,45.4,OpenSubtitles v2018 / OPUS
592,you give,185,45.4,OpenSubtitles v2018 / OPUS
593,him up,185,45.4,OpenSubtitles v2018 / OPUS
594,i think i,185,45.4,OpenSubtitles v2018 / OPUS
595,what's he,185,45.4,OpenSubtitles v2018 / OPUS
596,will work,185,45.4,OpenSubtitles v2018 / OPUS
597,on her,184,45.3,OpenSubtitles v2018 / OPUS
598,and go,184,45.3,OpenSubtitles v2018 / OPUS
599,get her,184,45.3,OpenSubtitles v2018 / OPUS
600,we've been,184,45.3,OpenSubtitles v2018 / OPUS
601,know how to,184,45.3,OpenSubtitles v2018 / OPUS
602,look at the,184,45.3,OpenSubtitles v2018 / OPUS
603,open up,184,45.3,OpenSubtitles v2018 / OPUS
604,give it to,184,45.3,OpenSubtitles v2018 / OPUS
605,take that,184,45.3,OpenSubtitles v2018 / OPUS
606,and tell,183,45.3,OpenSubtitles v2018 / OPUS
607,you all right,183,45.3,OpenSubtitles v2018 / OPUS
608,you know how,183,45.3,OpenSubtitles v2018 / OPUS
609,you back,183,45.3,OpenSubtitles v2018 / OPUS
610,i gotta,183,45.3,OpenSubtitles v2018 / OPUS
611,it's your,182,45.2,OpenSubtitles v2018 / OPUS
612,want to go,182,45.2,OpenSubtitles v2018 / OPUS
613,i find,182,45.2,OpenSubtitles v2018 / OPUS
614,i've seen,182,45.2,OpenSubtitles v2018 / OPUS
615,didn't do,182,45.2,OpenSubtitles v2018 / OPUS
616,i guess i,182,45.2,OpenSubtitles v2018 / OPUS
617,on our,181,45.2,OpenSubtitles v2018 / OPUS
618,don't go,181,45.2,OpenSubtitles v2018 / OPUS
619,pick up,181,45.2,OpenSubtitles v2018 / OPUS
620,out for,181,45.2,OpenSubtitles v2018 / OPUS
621,you tell me,181,45.2,OpenSubtitles v2018 / OPUS
622,what do you know,181,45.2,OpenSubtitles v2018 / OPUS
623,what time,181,45.2,OpenSubtitles v2018 / OPUS
624,give her,179,45.1,OpenSubtitles v2018 / OPUS
625,just don't,179,45.1,OpenSubtitles v2018 / OPUS
626,to call,179,45.1,OpenSubtitles v2018 / OPUS
627,i'm leaving,178,45.1,OpenSubtitles v2018 / OPUS
628,that's all right,178,45.1,OpenSubtitles v2018 / OPUS
629,i was in,178,45.1,OpenSubtitles v2018 / OPUS
630,them in,178,45.1,OpenSubtitles v2018 / OPUS
631,what's the matter with,178,45.1,OpenSubtitles v2018 / OPUS
632,give you a,177,45.0,OpenSubtitles v2018 / OPUS
633,we're all,177,45.0,OpenSubtitles v2018 / OPUS
634,next time,176,45.0,OpenSubtitles v2018 / OPUS
635,wouldn't have,176,45.0,OpenSubtitles v2018 / OPUS
636,are in,176,45.0,OpenSubtitles v2018 / OPUS
637,a look at,176,45.0,OpenSubtitles v2018 / OPUS
638,i don't wanna,175,44.9,OpenSubtitles v2018 / OPUS
639,that you're,175,44.9,OpenSubtitles v2018 / OPUS
640,but there's,175,44.9,OpenSubtitles v2018 / OPUS
641,think we,175,44.9,OpenSubtitles v2018 / OPUS
642,wouldn't be,175,44.9,OpenSubtitles v2018 / OPUS
643,your way,174,44.9,OpenSubtitles v2018 / OPUS
644,love to,174,44.9,OpenSubtitles v2018 / OPUS
645,no time,174,44.9,OpenSubtitles v2018 / OPUS
646,that's enough,174,44.9,OpenSubtitles v2018 / OPUS
647,we'll have to,174,44.9,OpenSubtitles v2018 / OPUS
648,my way,173,44.8,OpenSubtitles v2018 / OPUS
649,you call,173,44.8,OpenSubtitles v2018 / OPUS
650,we want,173,44.8,OpenSubtitles v2018 / OPUS
651,you'll never,173,44.8,OpenSubtitles v2018 / OPUS
652,right in,173,44.8,OpenSubtitles v2018 / OPUS
653,spider's web castle,173,44.8,OpenSubtitles v2018 / OPUS
654,too bad,172,44.8,OpenSubtitles v2018 / OPUS
655,what you mean,172,44.8,OpenSubtitles v2018 / OPUS
656,that i'm,171,44.7,OpenSubtitles v2018 / OPUS
657,i don't have,171,44.7,OpenSubtitles v2018 / OPUS
658,have a look,171,44.7,OpenSubtitles v2018 / OPUS
659,you'll have to,171,44.7,OpenSubtitles v2018 / OPUS
660,just that,170,44.7,OpenSubtitles v2018 / OPUS
661,find the,170,44.7,OpenSubtitles v2018 / OPUS
662,you gotta,170,44.7,OpenSubtitles v2018 / OPUS
663,we need,170,44.7,OpenSubtitles v2018 / OPUS
664,i ain't,170,44.7,OpenSubtitles v2018 / OPUS
665,your work,170,44.7,OpenSubtitles v2018 / OPUS
666,her in,169,44.6,OpenSubtitles v2018 / OPUS
667,where's the,169,44.6,OpenSubtitles v2018 / OPUS
668,make sure,168,44.6,OpenSubtitles v2018 / OPUS
669,i know what,168,44.6,OpenSubtitles v2018 / OPUS
670,you talk,168,44.6,OpenSubtitles v2018 / OPUS
671,think i'll,168,44.6,OpenSubtitles v2018 / OPUS
672,oh thank,168,44.6,OpenSubtitles v2018 / OPUS
673,the first time,168,44.6,OpenSubtitles v2018 / OPUS
674,take a look,168,44.6,OpenSubtitles v2018 / OPUS
675,don't need,168,44.6,OpenSubtitles v2018 / OPUS
676,want to get,168,44.6,OpenSubtitles v2018 / OPUS
677,they can't,168,44.6,OpenSubtitles v2018 / OPUS
678,know it's,168,44.6,OpenSubtitles v2018 / OPUS
679,give us,167,44.5,OpenSubtitles v2018 / OPUS
680,give me the,167,44.5,OpenSubtitles v2018 / OPUS
681,i'm getting,167,44.5,OpenSubtitles v2018 / OPUS
682,don't see,167,44.5,OpenSubtitles v2018 / OPUS
683,i'll see you,167,44.5,OpenSubtitles v2018 / OPUS
684,he's going,167,44.5,OpenSubtitles v2018 / OPUS
685,in court,167,44.5,OpenSubtitles v2018 / OPUS
686,love me,166,44.5,OpenSubtitles v2018 / OPUS
687,i know it,166,44.5,OpenSubtitles v2018 / OPUS
688,it's like,166,44.5,OpenSubtitles v2018 / OPUS
689,it's me,165,44.4,OpenSubtitles v2018 / OPUS
690,a way,165,44.4,OpenSubtitles v2018 / OPUS
691,better go,165,44.4,OpenSubtitles v2018 / OPUS
692,care for,165,44.4,OpenSubtitles v2018 / OPUS
693,up your,164,44.3,OpenSubtitles v2018 / OPUS
694,you remember,164,44.3,OpenSubtitles v2018 / OPUS
695,never go,164,44.3,OpenSubtitles v2018 / OPUS
696,she's not,163,44.3,OpenSubtitles v2018 / OPUS
697,out of my,163,44.3,OpenSubtitles v2018 / OPUS
698,just got,163,44.3,OpenSubtitles v2018 / OPUS
699,sorry to,163,44.3,OpenSubtitles v2018 / OPUS
700,i'm here,162,44.2,OpenSubtitles v2018 / OPUS
701,been in,162,44.2,OpenSubtitles v2018 / OPUS
702,out of this,162,44.2,OpenSubtitles v2018 / OPUS
703,won't have,162,44.2,OpenSubtitles v2018 / OPUS
704,oh thank you,161,44.2,OpenSubtitles v2018 / OPUS
705,will come,161,44.2,OpenSubtitles v2018 / OPUS
706,around the,161,44.2,OpenSubtitles v2018 / OPUS
707,they're all,161,44.2,OpenSubtitles v2018 / OPUS
708,don't even,161,44.2,OpenSubtitles v2018 / OPUS
709,sorry sir,161,44.2,OpenSubtitles v2018 / OPUS
710,she'll be,160,44.1,OpenSubtitles v2018 / OPUS
711,what's going on,160,44.1,OpenSubtitles v2018 / OPUS
712,tell us,160,44.1,OpenSubtitles v2018 / OPUS
713,get going,160,44.1,OpenSubtitles v2018 / OPUS
714,down in,160,44.1,OpenSubtitles v2018 / OPUS
715,get rid,160,44.1,OpenSubtitles v2018 / OPUS
716,but i don't,159,44.1,OpenSubtitles v2018 / OPUS
717,you shouldn't,159,44.1,OpenSubtitles v2018 / OPUS
718,you don't have to,159,44.1,OpenSubtitles v2018 / OPUS
719,well i'll,159,44.1,OpenSubtitles v2018 / OPUS
720,i'll make,159,44.1,OpenSubtitles v2018 / OPUS
721,just a minute,159,44.1,OpenSubtitles v2018 / OPUS
722,give the,159,44.1,OpenSubtitles v2018 / OPUS
723,get rid of,159,44.1,OpenSubtitles v2018 / OPUS
724,blow up,159,44.1,OpenSubtitles v2018 / OPUS
725,that's my,158,44.0,OpenSubtitles v2018 / OPUS
726,get this,158,44.0,OpenSubtitles v2018 / OPUS
727,when you're,158,44.0,OpenSubtitles v2018 / OPUS
728,i'll try,158,44.0,OpenSubtitles v2018 / OPUS
729,gonna do,157,44.0,OpenSubtitles v2018 / OPUS
730,i think you,157,44.0,OpenSubtitles v2018 / OPUS
731,what i'm,157,44.0,OpenSubtitles v2018 / OPUS
732,can take,157,44.0,OpenSubtitles v2018 / OPUS
733,how come,157,44.0,OpenSubtitles v2018 / OPUS
734,call you,156,43.9,OpenSubtitles v2018 / OPUS
735,was on,156,43.9,OpenSubtitles v2018 / OPUS
736,ready for,156,43.9,OpenSubtitles v2018 / OPUS
737,believe in,155,43.9,OpenSubtitles v2018 / OPUS
738,sorry i,155,43.9,OpenSubtitles v2018 / OPUS
739,the way you,155,43.9,OpenSubtitles v2018 / OPUS
740,on him,155,43.9,OpenSubtitles v2018 / OPUS
741,they didn't,155,43.9,OpenSubtitles v2018 / OPUS
742,didn't want to,155,43.9,OpenSubtitles v2018 / OPUS
743,to talk to you,155,43.9,OpenSubtitles v2018 / OPUS
744,this thing,155,43.9,OpenSubtitles v2018 / OPUS
745,i think it's,154,43.8,OpenSubtitles v2018 / OPUS
746,you care,154,43.8,OpenSubtitles v2018 / OPUS
747,up in the,154,43.8,OpenSubtitles v2018 / OPUS
748,we just,153,43.8,OpenSubtitles v2018 / OPUS
749,you know about,153,43.8,OpenSubtitles v2018 / OPUS
750,i've done,153,43.8,OpenSubtitles v2018 / OPUS
751,it down,153,43.8,OpenSubtitles v2018 / OPUS
752,give up,153,43.8,OpenSubtitles v2018 / OPUS
753,but don't,153,43.8,OpenSubtitles v2018 / OPUS
754,want him,153,43.8,OpenSubtitles v2018 / OPUS
755,in a few,153,43.8,OpenSubtitles v2018 / OPUS
756,look at this,153,43.8,OpenSubtitles v2018 / OPUS
757,i'd say,153,43.8,OpenSubtitles v2018 / OPUS
758,you'd like,153,43.8,OpenSubtitles v2018 / OPUS
759,and he's,152,43.7,OpenSubtitles v2018 / OPUS
760,after you,152,43.7,OpenSubtitles v2018 / OPUS
761,far away,152,43.7,OpenSubtitles v2018 / OPUS
762,there's something,152,43.7,OpenSubtitles v2018 / OPUS
763,mind if,152,43.7,OpenSubtitles v2018 / OPUS
764,in case,151,43.6,OpenSubtitles v2018 / OPUS
765,just as,151,43.6,OpenSubtitles v2018 / OPUS
766,is just,151,43.6,OpenSubtitles v2018 / OPUS
767,look at me,151,43.6,OpenSubtitles v2018 / OPUS
768,you're all,151,43.6,OpenSubtitles v2018 / OPUS
769,don't tell,151,43.6,OpenSubtitles v2018 / OPUS
770,be right,151,43.6,OpenSubtitles v2018 / OPUS
771,gonna have,150,43.6,OpenSubtitles v2018 / OPUS
772,hey you,150,43.6,OpenSubtitles v2018 / OPUS
773,don't do,150,43.6,OpenSubtitles v2018 / OPUS
774,come from,150,43.6,OpenSubtitles v2018 / OPUS
775,it just,150,43.6,OpenSubtitles v2018 / OPUS
776,in the middle,150,43.6,OpenSubtitles v2018 / OPUS
777,know who,150,43.6,OpenSubtitles v2018 / OPUS
778,call the,150,43.6,OpenSubtitles v2018 / OPUS
779,be sure,150,43.6,OpenSubtitles v2018 / OPUS
780,come to the,149,43.5,OpenSubtitles v2018 / OPUS
781,feel like,149,43.5,OpenSubtitles v2018 / OPUS
782,don't bother,149,43.5,OpenSubtitles v2018 / OPUS
783,the work,149,43.5,OpenSubtitles v2018 / OPUS
784,carry on,149,43.5,OpenSubtitles v2018 / OPUS
785,calm down,148,43.5,OpenSubtitles v2018 / OPUS
786,it's an,148,43.5,OpenSubtitles v2018 / OPUS
787,haven't you,148,43.5,OpenSubtitles v2018 / OPUS
788,to believe,148,43.5,OpenSubtitles v2018 / OPUS
789,get down,148,43.5,OpenSubtitles v2018 / OPUS
790,i'm not going,148,43.5,OpenSubtitles v2018 / OPUS
791,wake up,147,43.4,OpenSubtitles v2018 / OPUS
792,there's the,147,43.4,OpenSubtitles v2018 / OPUS
793,that's very,147,43.4,OpenSubtitles v2018 / OPUS
794,to happen,147,43.4,OpenSubtitles v2018 / OPUS
795,last time,146,43.3,OpenSubtitles v2018 / OPUS
796,down here,146,43.3,OpenSubtitles v2018 / OPUS
797,want the,146,43.3,OpenSubtitles v2018 / OPUS
798,oh that's,146,43.3,OpenSubtitles v2018 / OPUS
799,haven't got,146,43.3,OpenSubtitles v2018 / OPUS
800,way i,146,43.3,OpenSubtitles v2018 / OPUS
801,it's over,146,43.3,OpenSubtitles v2018 / OPUS
802,yes i'm,145,43.3,OpenSubtitles v2018 / OPUS
803,wait till,145,43.3,OpenSubtitles v2018 / OPUS
804,in their,145,43.3,OpenSubtitles v2018 / OPUS
805,you love,145,43.3,OpenSubtitles v2018 / OPUS
806,don't believe,145,43.3,OpenSubtitles v2018 / OPUS
807,just a little,145,43.3,OpenSubtitles v2018 / OPUS
808,you let,145,43.3,OpenSubtitles v2018 / OPUS
809,get off,145,43.3,OpenSubtitles v2018 / OPUS
810,i'll never,144,43.2,OpenSubtitles v2018 / OPUS
811,i think i'll,144,43.2,OpenSubtitles v2018 / OPUS
812,it over,144,43.2,OpenSubtitles v2018 / OPUS
813,think the,144,43.2,OpenSubtitles v2018 / OPUS
814,his way,144,43.2,OpenSubtitles v2018 / OPUS
815,thing i,144,43.2,OpenSubtitles v2018 / OPUS
816,to hold,143,43.2,OpenSubtitles v2018 / OPUS
817,if i'm,143,43.2,OpenSubtitles v2018 / OPUS
818,good idea,143,43.2,OpenSubtitles v2018 / OPUS
819,can't take,143,43.2,OpenSubtitles v2018 / OPUS
820,get my,143,43.2,OpenSubtitles v2018 / OPUS
821,was right,143,43.2,OpenSubtitles v2018 / OPUS
822,would you mind,143,43.2,OpenSubtitles v2018 / OPUS
823,now don't,143,43.2,OpenSubtitles v2018 / OPUS
824,may never go,143,43.2,OpenSubtitles v2018 / OPUS
825,never go home,143,43.2,OpenSubtitles v2018 / OPUS
826,i may never go,143,43.2,OpenSubtitles v2018 / OPUS
827,may never go home,143,43.2,OpenSubtitles v2018 / OPUS
828,i may never go home,143,43.2,OpenSubtitles v2018 / OPUS
829,need it,142,43.1,OpenSubtitles v2018 / OPUS
830,will go,142,43.1,OpenSubtitles v2018 / OPUS
831,in town,142,43.1,OpenSubtitles v2018 / OPUS
832,look for,141,43.0,OpenSubtitles v2018 / OPUS
833,live in,141,43.0,OpenSubtitles v2018 / OPUS
834,find a,141,43.0,OpenSubtitles v2018 / OPUS
835,it's only,141,43.0,OpenSubtitles v2018 / OPUS
836,along with,141,43.0,OpenSubtitles v2018 / OPUS
837,they won't,141,43.0,OpenSubtitles v2018 / OPUS
838,know but,141,43.0,OpenSubtitles v2018 / OPUS
839,all the way,141,43.0,OpenSubtitles v2018 / OPUS
840,come over here,140,43.0,OpenSubtitles v2018 / OPUS
841,just for,140,43.0,OpenSubtitles v2018 / OPUS
842,maybe we,140,43.0,OpenSubtitles v2018 / OPUS
843,and take,139,42.9,OpenSubtitles v2018 / OPUS
844,back and,139,42.9,OpenSubtitles v2018 / OPUS
845,could get,139,42.9,OpenSubtitles v2018 / OPUS
846,mean you,139,42.9,OpenSubtitles v2018 / OPUS
847,know this,139,42.9,OpenSubtitles v2018 / OPUS
848,just a moment,139,42.9,OpenSubtitles v2018 / OPUS
849,matter how,138,42.9,OpenSubtitles v2018 / OPUS
850,out of it,138,42.9,OpenSubtitles v2018 / OPUS
851,just to,138,42.9,OpenSubtitles v2018 / OPUS
852,to tell me,138,42.9,OpenSubtitles v2018 / OPUS
853,i didn't do,138,42.9,OpenSubtitles v2018 / OPUS
854,be good,137,42.8,OpenSubtitles v2018 / OPUS
855,work on,137,42.8,OpenSubtitles v2018 / OPUS
856,not really,137,42.8,OpenSubtitles v2018 / OPUS
857,can't help,136,42.7,OpenSubtitles v2018 / OPUS
858,oh yeah,136,42.7,OpenSubtitles v2018 / OPUS
859,come with me,136,42.7,OpenSubtitles v2018 / OPUS
860,but i've,136,42.7,OpenSubtitles v2018 / OPUS
861,i didn't want,136,42.7,OpenSubtitles v2018 / OPUS
862,not think,136,42.7,OpenSubtitles v2018 / OPUS
863,i think so,136,42.7,OpenSubtitles v2018 / OPUS
864,her up,135,42.7,OpenSubtitles v2018 / OPUS
865,mean to,135,42.7,OpenSubtitles v2018 / OPUS
866,let's have,135,42.7,OpenSubtitles v2018 / OPUS
867,i'm still,135,42.7,OpenSubtitles v2018 / OPUS
868,i know you,135,42.7,OpenSubtitles v2018 / OPUS
869,get there,135,42.7,OpenSubtitles v2018 / OPUS
870,that won't,135,42.7,OpenSubtitles v2018 / OPUS
871,place in,135,42.7,OpenSubtitles v2018 / OPUS
872,time is,135,42.7,OpenSubtitles v2018 / OPUS
873,in for,135,42.7,OpenSubtitles v2018 / OPUS
874,to find out,135,42.7,OpenSubtitles v2018 / OPUS
875,be ready,135,42.7,OpenSubtitles v2018 / OPUS
876,never get,134,42.6,OpenSubtitles v2018 / OPUS
877,after that,134,42.6,OpenSubtitles v2018 / OPUS
878,can tell,134,42.6,OpenSubtitles v2018 / OPUS
879,i'm all,134,42.6,OpenSubtitles v2018 / OPUS
880,they want,134,42.6,OpenSubtitles v2018 / OPUS
881,thing is,134,42.6,OpenSubtitles v2018 / OPUS
882,we didn't,134,42.6,OpenSubtitles v2018 / OPUS
883,have come,134,42.6,OpenSubtitles v2018 / OPUS
884,off and,134,42.6,OpenSubtitles v2018 / OPUS
885,believe that,133,42.5,OpenSubtitles v2018 / OPUS
886,you think you,133,42.5,OpenSubtitles v2018 / OPUS
887,and give,133,42.5,OpenSubtitles v2018 / OPUS
888,know anything,133,42.5,OpenSubtitles v2018 / OPUS
889,don't say,133,42.5,OpenSubtitles v2018 / OPUS
890,it won't be,133,42.5,OpenSubtitles v2018 / OPUS
891,to go back,133,42.5,OpenSubtitles v2018 / OPUS
892,ain't no,133,42.5,OpenSubtitles v2018 / OPUS
893,we've got to,133,42.5,OpenSubtitles v2018 / OPUS
894,take her,132,42.5,OpenSubtitles v2018 / OPUS
895,sorry for,132,42.5,OpenSubtitles v2018 / OPUS
896,find him,132,42.5,OpenSubtitles v2018 / OPUS
897,it's time,132,42.5,OpenSubtitles v2018 / OPUS
898,he's the,132,42.5,OpenSubtitles v2018 / OPUS
899,what's this,132,42.5,OpenSubtitles v2018 / OPUS
900,can't stand,132,42.5,OpenSubtitles v2018 / OPUS
901,just want,132,42.5,OpenSubtitles v2018 / OPUS
902,sorry but,131,42.4,OpenSubtitles v2018 / OPUS
903,but that's,131,42.4,OpenSubtitles v2018 / OPUS
904,i look,130,42.3,OpenSubtitles v2018 / OPUS
905,it's nothing,130,42.3,OpenSubtitles v2018 / OPUS
906,you don't understand,130,42.3,OpenSubtitles v2018 / OPUS
907,at the time,130,42.3,OpenSubtitles v2018 / OPUS
908,are you all right,130,42.3,OpenSubtitles v2018 / OPUS
909,just about,130,42.3,OpenSubtitles v2018 / OPUS
910,in one,130,42.3,OpenSubtitles v2018 / OPUS
911,but he's,130,42.3,OpenSubtitles v2018 / OPUS
912,hold him,130,42.3,OpenSubtitles v2018 / OPUS
913,now get,130,42.3,OpenSubtitles v2018 / OPUS
914,there'll be,130,42.3,OpenSubtitles v2018 / OPUS
915,sure i,130,42.3,OpenSubtitles v2018 / OPUS
916,give in,130,42.3,OpenSubtitles v2018 / OPUS
917,here we go,129,42.3,OpenSubtitles v2018 / OPUS
918,it's for,129,42.3,OpenSubtitles v2018 / OPUS
919,go over,129,42.3,OpenSubtitles v2018 / OPUS
920,of time,129,42.3,OpenSubtitles v2018 / OPUS
921,matter of fact,129,42.3,OpenSubtitles v2018 / OPUS
922,that's just,129,42.3,OpenSubtitles v2018 / OPUS
923,it's quite,129,42.3,OpenSubtitles v2018 / OPUS
924,didn't i,128,42.2,OpenSubtitles v2018 / OPUS
925,when i'm,128,42.2,OpenSubtitles v2018 / OPUS
926,now look,128,42.2,OpenSubtitles v2018 / OPUS
927,do you know what,128,42.2,OpenSubtitles v2018 / OPUS
928,don't we,128,42.2,OpenSubtitles v2018 / OPUS
929,gonna get,128,42.2,OpenSubtitles v2018 / OPUS
930,back here,128,42.2,OpenSubtitles v2018 / OPUS
931,in bed,128,42.2,OpenSubtitles v2018 / OPUS
